識別情報,団体コード,種別,団体名,概要,名称,住所_表記,通称,施設_緯度,施設_経度,ホームページ,施設_電話番号,開始時間,終了時間,自由記述欄,日時備考
97,11224,公園,埼玉県戸田市,,後谷団地児童遊園地,埼玉県戸田市戸田市上戸田３丁目２２,,35.8149314,139.6757295,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=97,,,,昭和54年に設置された。,
98,11224,公園,埼玉県戸田市,,戸田橋下広場,埼玉県戸田市川岸3丁目4番地,,35.8019553,139.683898,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=98,,,,,
99,11224,公園,埼玉県戸田市,,新曽南児童遊園地,埼玉県戸田市新曽南４丁目１,,35.8075641,139.6639705,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=99,,,,新曽下町公民館となり,
100,11224,公園,埼玉県戸田市,,向田児童遊園地,埼玉県戸田市美女木字向田1117番地,,35.8305903,139.6478966,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=100,,,,,
101,11224,公園,埼玉県戸田市,,上前児童遊園地,埼玉県戸田市本町５丁目３?２５,,35.8049259,139.6803327,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=101,,,,昭和31年に本公園は設置された。,
102,11224,公園,埼玉県戸田市,,喜沢南児童遊園地,埼玉県戸田市喜沢南1丁目8番地,,35.8073213,139.6940564,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=102,,,,,
103,11224,公園,埼玉県戸田市,,笹目夏浜児童遊園地,埼玉県戸田市笹目7丁目15番地,,35.8092236,139.6422649,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=103,,,,,
104,11224,公園,埼玉県戸田市,,下笹目住宅緑地,埼玉県戸田市笹目8丁目1番地,,35.8094725,139.6462696,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=104,,,,,
105,11224,公園,埼玉県戸田市,,下前稲荷広場,埼玉県戸田市下前2丁目6番地,,35.8069397,139.6860881,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=105,,,,,
106,11224,公園,埼玉県戸田市,,笹目一丁目児童遊園地,埼玉県戸田市笹目1丁目14番地,,35.8175829,139.6570658,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=106,,,,,
107,11224,公園,埼玉県戸田市,,下戸田ミニパーク,埼玉県戸田市下戸田2丁目12番地,,35.8123701,139.6832543,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=107,,,,平成９年に設置されました。,
108,11224,公園,埼玉県戸田市,,川岸ミニパーク,埼玉県戸田市川岸1丁目10番地,,35.8023705,139.6855283,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=108,,,,平成９年に設置されました。,
109,11224,公園,埼玉県戸田市,,上前公園,埼玉県戸田市本町5丁目10番地,,35.8053632,139.6774835,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=109,,,,,
110,11224,公園,埼玉県戸田市,,みにばら広場,埼玉県戸田市南町1丁目21番,,35.806231,139.673992,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=110,,,,寄付,
111,11224,公園,埼玉県戸田市,,川岸運動公園,埼玉県戸田市荒川堤外,,35.7988841,139.6995589,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=111,,,,,
112,11224,公園,埼玉県戸田市,,笹目川親水公園,埼玉県戸田市氷川町3丁目14番地,,35.8074002,139.6544116,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=112,,,,,
113,11224,公園,埼玉県戸田市,,戸田橋親水公園,埼玉県戸田市川岸3丁目７番７地先,,35.8026842,139.681882,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=113,,,,,
114,11224,公園,埼玉県戸田市,,荒川親水公園,埼玉県戸田市戸田公園地先,,35.8014591,139.6582242,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=114,,,,本公園は、戸田競艇場の南荒川河川高水敷に位置し、建設省笹目川親水ピアモデル事業の一環として整備された。,
115,11224,公園,埼玉県戸田市,,緑地公園,埼玉県戸田市新曽字稲荷1039番地,,35.8131696,139.6658137,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=115,,,,,
116,11224,公園,埼玉県戸田市,,こぶし公園,埼玉県戸田市下前2丁目10番地,,35.8069287,139.6890668,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=116,,,,,
117,11224,公園,埼玉県戸田市,,前谷公園,埼玉県戸田市上戸田1丁目23番地,,35.8208746,139.6772658,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=117,,,,,
118,11224,公園,埼玉県戸田市,,戸田桜づつみ,埼玉県戸田市荒川堤防上,,35.8021831,139.6710195,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=118,,,,昭和６３年１２月２６日事業認定、平成元年１１月　植栽工事,
119,11224,公園,埼玉県戸田市,,せせらぎ遊歩道,埼玉県戸田市美女木5丁目28番地,,35.8183321,139.6396386,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=119,,,,,
120,11224,公園,埼玉県戸田市,,下町さくら東ひろば,埼玉県戸田市新曽南3丁目8番７号地先,,35.8065333,139.6677806,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=120,,,,,
121,11224,公園,埼玉県戸田市,,下町さくら中央ひろば,埼玉県戸田市新曽南3丁目15番8号地先,,35.8066415,139.6663591,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=121,,,,,
122,11224,公園,埼玉県戸田市,,下町さくら西ひろば,埼玉県戸田市新曽南4丁目1番11号地先,,35.8067979,139.6641251,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=122,,,,,
123,11224,公園,埼玉県戸田市,,氷川町さくらひろば,埼玉県戸田市氷川町3丁目5番地,,35.8072764,139.6580905,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=123,,,,,
124,11224,公園,埼玉県戸田市,,新曽新田公共広場,埼玉県戸田市新曽字稲荷1771番地,,35.8136189,139.6630476,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=124,,,,新田公民館敷地の一部を使用,
125,11224,公園,埼玉県戸田市,,上戸田４丁目緑道,埼玉県戸田市上戸田4丁目2番地,,35.8195032,139.6771149,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=125,,,,,
126,11224,公園,埼玉県戸田市,,野竹さくら広場,埼玉県戸田市笹目5丁目35番地,,35.8144568,139.6414516,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=126,,,,,
127,11224,公園,埼玉県戸田市,,天王さくら広場,埼玉県戸田市笹目5丁目32番地,,35.8155859,139.6405465,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=127,,,,,
128,11224,公園,埼玉県戸田市,,住民広場（新曽小玉）,埼玉県戸田市新曽字小玉84番地,,35.8174005,139.6716458,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=128,,,,,
129,11224,公園,埼玉県戸田市,,住民広場（笹目７丁目）,埼玉県戸田市笹目7丁目20番地,,35.8065093,139.6435996,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=129,,,,,
130,11224,公園,埼玉県戸田市,,下前公園ゲートボール場,埼玉県戸田市下前2丁目10番地備考,,35.8078187,139.6846101,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=130,,,,,
131,11224,公園,埼玉県戸田市,,新曽小玉広場,埼玉県戸田市新曽字小玉145番地,,35.821781,139.6713767,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=131,,,,,
132,11224,公園,埼玉県戸田市,,かじやさくら緑地,埼玉県戸田市上戸田3丁目10番地,,35.810915,139.6748583,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=132,,,,,
133,11224,公園,埼玉県戸田市,,柳原広場,埼玉県戸田市新曽字柳原707番地,,35.8230074,139.668279,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=133,,,,,
145,11224,公園,埼玉県戸田市,,第一号市民緑地,埼玉県戸田市笹目1丁目1番地,,35.8209689,139.6577152,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=145,,,,,
146,11224,公園,埼玉県戸田市,,第2号市民緑地,埼玉県戸田市新曽字芦原1868番地,,35.8155655,139.661432,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=146,,,,,
147,11224,公園,埼玉県戸田市,,3号緑地公園(戸田市管理),埼玉県戸田市新曽字芦原2467番地,,35.8139691,139.6575269,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=147,,,,,
150,11224,公園,埼玉県戸田市,,荒川水循環センター上部公園,埼玉県戸田市大字美女木５４３４−１,,35.8176989,139.6383325,https://www.city.toda.saitama.jp/soshiki/213/index-2.html,,,,,
157,11224,公園,埼玉県戸田市,,新田ふれあい噴水公園,埼玉県戸田市新曽1758-3,,35.8155629,139.6629704,https://www.city.toda.saitama.jp/soshiki/272/matidukuri-shindfpark.html,,,,地域にお住まいの皆さんと共にワークショップなどで話し合ったことをもとに、整備を進めてきた「新田ふれあい噴水公園」が、2017年12月6日から利用できるようになりました。,
