識別情報,団体コード,種別,団体名,概要,名称,住所_表記,通称,施設_緯度,施設_経度,ホームページ,施設_電話番号,開始時間,終了時間,自由記述欄,日時備考
23,11224,公園,埼玉県戸田市,,修行目公園,埼玉県戸田市美女木6丁目4番地,,35.822315,139.639498,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=23,,,,昭和47年、区画整理により設置されました。この地域は、新大宮バイパスと外環状道路と交通量の多い道路に囲まれています。,
24,11224,公園,埼玉県戸田市,,砂場公園,埼玉県戸田市美女木4丁目14番地,,35.82225,139.64391,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=24,,,,昭和45年、区画整理により設置されました。この地域は、新大宮バイパスと外環状道路に囲まれています。,
25,11224,公園,埼玉県戸田市,,美笹公園,埼玉県戸田市美女木5丁目5番地,,35.821018,139.641676,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=25,,,,昭和45年、区画整理により設置されました。戸田市美笹支所の西側に位置しています。,
26,11224,公園,埼玉県戸田市,,柳坪公園,埼玉県戸田市笹目4丁目22番地,,35.821,139.64612,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=26,,,,昭和47年、区画整理により設置しました。平成9年に園全体の施設整備を行う。,
27,11224,公園,埼玉県戸田市,,天王公園,埼玉県戸田市笹目5丁目19番地,,35.817314,139.64258,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=27,,,,昭和46年、区画整理により設置しました。,
28,11224,公園,埼玉県戸田市,,山宮公園,埼玉県戸田市笹目4丁目29番地,,35.818762,139.647747,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=28,,,,昭和46年、区画整理により設置されました。昭和60年度全面的公園改修工事,
29,11224,公園,埼玉県戸田市,,谷口公園,埼玉県戸田市笹目1丁目20番地,,35.819686,139.655767,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=29,,,,昭和45年、区画整理により設置しました。,
30,11224,公園,埼玉県戸田市,,根木橋公園,埼玉県戸田市笹目2丁目22番地,,35.815432,139.653835,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=30,,,,昭和46年、区画整理により設置しました。,
31,11224,公園,埼玉県戸田市,,圃中公園,埼玉県戸田市 	笹目3丁目13番地,,35.81547,139.64993,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=31,,,,昭和45年に区画整理により設置された。,
32,11224,公園,埼玉県戸田市,,野竹公園,埼玉県戸田市笹目6丁目4番地,,35.814766,139.646843,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=32,,,,昭和45年、区画整理により設置されました。,
