stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
96,南西循環13戸田公園駅西口,,35.80758097,139.6776794,,,0,
97,南西循環14本町五丁目,,35.80428774,139.6792777,,,0,
98,南西循環15ボートコース入口,,35.80303538,139.6816443,,,0,
99,南西循環16県営戸田公園,,35.80153866,139.6771522,,,0,
100,南西循環17旭が丘,,35.80111247,139.6799261,,,0,
101,南西循環18ボートコース入口,,35.80293065,139.6815132,,,0,
102,南西循環19戸田公園駅南,,35.80561997,139.6776406,,,0,
103,南西循環20上戸田南保育園,,35.80468533,139.6759618,,,0,
104,南西循環21南町,,35.80504059,139.6711654,,,0,
105,南西循環22新曽南三丁目,,35.80540895,139.6663237,,,0,
106,南西循環23給食センター入口,,35.80579337,139.6613499,,,0,
107,南西循環24戸田公園大橋,,35.80606363,139.6576606,,,0,
108,南西循環25笹目川排水機場,,35.8023303,139.6528277,,,0,
109,南西循環26早瀬二丁目,,35.80398231,139.6472029,,,0,
110,南西循環27聖橋,,35.80929421,139.6479768,,,0,
111,南西循環28笹目六丁目,,35.8128292,139.6463462,,,0,
112,美笹循環0下笹目,,35.81490037,139.6435795,,,0,
113,美笹循環1ささめ幼稚園,,35.81566131,139.6463484,,,0,
114,美笹循環2笹目コミュニティセンター,,35.81560919,139.6492782,,,0,
115,美笹循環3最勝寺,,35.81748512,139.6472301,,,0,
116,美笹循環4市民医療センター,,35.82100674,139.6455122,,,0,
117,美笹循環5山宮,,35.81974604,139.6475605,,,0,
118,美笹循環6笹目四丁目,,35.81851445,139.6493913,,,0,
119,美笹循環7惣右衛門公園,,35.8196692,139.6525206,,,0,
120,美笹循環8谷口,,35.82053172,139.6547952,,,0,
121,美笹循環9笹目北町,,35.82162724,139.6547481,,,0,
122,美笹循環10北部公園西,,35.8251528,139.6545634,,,0,
123,美笹循環11北部公園野球場,,35.82565579,139.6563351,,,0,
124,美笹循環12北戸田駅,,35.82773218,139.6594019,,,0,
125,美笹循環13北部公園野球場,,35.82550551,139.655959,,,0,
126,美笹循環14美女木東一丁目,,35.82553255,139.653378,,,0,
127,美笹循環15南陵高校,,35.8245862,139.6504425,,,0,
128,美笹循環16美女木小学校入口,,35.82949483,139.6464226,,,0,
129,美笹循環17新田公園,,35.82754485,139.6446992,,,0,
130,美笹循環18藪雨,,35.82604736,139.6420267,,,0,
131,美笹循環19美女木二丁目,,35.82835305,139.640591,,,0,
132,美笹循環20美女木一丁目,,35.82932094,139.640689,,,0,
133,美笹循環21美女木一丁目会館,,35.83047737,139.6396378,,,0,
134,美笹循環22美女木一丁目西,,35.83054329,139.636687,,,0,
135,美笹循環23美女木,,35.82834347,139.6393287,,,0,
136,美笹循環24番匠免,,35.82883798,139.6339753,,,0,
137,美笹循環25道満,,35.82646211,139.6338227,,,0,
138,美笹循環26堀之内,,35.82492431,139.635689,,,0,
139,美笹循環27修行目,,35.82178544,139.6384733,,,0,
140,美笹循環28美笹支所,,35.82086703,139.6422396,,,0,
141,美笹循環29天王,,35.81898343,139.6436184,,,0,
142,美笹循環30天王公園,,35.81694482,139.6419348,,,0,
